"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4JpBGlsUytujGQohsnqmxb","僕らだ","spotify:artist:4TaSvnT5o4REFwhqfrmK27","imase","spotify:album:0qXnV13j7XEHdiS8LvcQEV","僕らだ","spotify:artist:4TaSvnT5o4REFwhqfrmK27","imase","2023-02-24","https://i.scdn.co/image/ab67616d0000b27397b1d15b2f4acb7de0f7b3a9","1","1","198173","https://p.scdn.co/mp3-preview/0273a3a3a6cc8bca5b0eea379b7575310c8a4f4b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","JPPO02300199","","2024-05-18T01:54:36Z"
"spotify:track:3eoymGPqiAN2jpb8K8v6hm","Alfie","spotify:artist:6bDWAcdtVR3WHz2xtiIPUi","Fujii Kaze","spotify:album:1AHbVBPlzsI0k18agZQ6zr","HELP EVER HURT COVER","spotify:artist:6bDWAcdtVR3WHz2xtiIPUi","Fujii Kaze","2020-05-20","https://i.scdn.co/image/ab67616d0000b27386b251a56fc370c5a1262f31","1","4","152493","https://p.scdn.co/mp3-preview/3515abe23fb951d45d52e4f68802ef430ce9d852?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","JPPO02001273","","2024-05-18T01:54:36Z"
"spotify:track:5zLzM27Mr6c899xGwZ9Ufd","Something Just Like This","spotify:artist:2BHswvFd8tMBizVWGcAMLm, spotify:artist:7lPWuLostTtlIShgm4wpf0","Kurt Hugo Schneider, Sam Tsui","spotify:album:4hKf233rsxpH4TTJTbPy4M","Kurt & Company Vol 1","spotify:artist:2BHswvFd8tMBizVWGcAMLm","Kurt Hugo Schneider","2017-06-12","https://i.scdn.co/image/ab67616d0000b273fb615226789f4f10dba6fe2c","1","4","199805","","false","1","GBDMT1700148","","2024-05-18T01:54:36Z"
"spotify:track:3hOaQEg3iM2GPGWjTb2d3h","漩渦","spotify:artist:2MVfNjocvNrE03cQuxpsWK","張敬軒","spotify:album:4oyUjiSeeBwEfKvsASvMwy","Dahlia II","spotify:artist:2MVfNjocvNrE03cQuxpsWK","張敬軒","2018-05-31","https://i.scdn.co/image/ab67616d0000b273f5249d271b41411a6d425046","1","7","315091","https://p.scdn.co/mp3-preview/63f8bb3cfa878fab0dcad394185e22b8c4a18984?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","HKD251811107","","2024-05-18T01:54:36Z"
"spotify:track:3cTIbO8rsemFXJbpoUlvi3","心跳回憶 (紅館現場錄音版) [Live]","spotify:artist:6t1LRAgmnIc4a1hnjhSDHU","陳輝陽 x 女聲合唱","spotify:album:4qOltNNKsnFdNocTeMC6mo","心跳回憶 (紅館現場錄音版) [Live]","spotify:artist:6t1LRAgmnIc4a1hnjhSDHU","陳輝陽 x 女聲合唱","2022-12-31","https://i.scdn.co/image/ab67616d0000b2735bfc12edac0b2b5af5f3a7b2","1","1","187750","https://p.scdn.co/mp3-preview/ed3cd1d81a1dac594c1871d09df4ba9058cf0d93?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","HKG882200023","","2024-05-18T01:54:36Z"
"spotify:track:1VEqSmke4sLszJIsr0ykOP","Girls Like You","spotify:artist:2BHswvFd8tMBizVWGcAMLm, spotify:artist:7lPWuLostTtlIShgm4wpf0, spotify:artist:1K6X8F328epAW1o79YPYz6","Kurt Hugo Schneider, Sam Tsui, DSharp","spotify:album:1Tjd767qfPd4UuM4LX1pMe","Girls Like You","spotify:artist:2BHswvFd8tMBizVWGcAMLm, spotify:artist:7lPWuLostTtlIShgm4wpf0, spotify:artist:1K6X8F328epAW1o79YPYz6","Kurt Hugo Schneider, Sam Tsui, DSharp","2018-07-04","https://i.scdn.co/image/ab67616d0000b273f2c876bdd979a2b6bca1f166","1","1","215760","","false","6","GBDMT1800240","","2024-05-18T01:54:35Z"
"spotify:track:4KCFIdjRJGevH0CVDAO1bO","羅賓","spotify:artist:2MVfNjocvNrE03cQuxpsWK","張敬軒","spotify:album:3ptXL4SCc8qXm6GtCpcfez","The Magical Teeter Totter 張敬軒‧王菀之 演唱會 2017","spotify:artist:27WDr8Ky1j0LtgY82Ttk5S, spotify:artist:2MVfNjocvNrE03cQuxpsWK","王菀之, 張敬軒","2017-04-11","https://i.scdn.co/image/ab67616d0000b273ff7f5d311e9767330b46ace3","2","3","221253","https://p.scdn.co/mp3-preview/bbcf8f5d9be52d3bd6a27cd947587509cb078388?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","HKD251713018","","2024-05-18T01:54:35Z"
"spotify:track:4KBRz9POcLaUfQr8IenhEF","絕","spotify:artist:2MVfNjocvNrE03cQuxpsWK","張敬軒","spotify:album:4oyUjiSeeBwEfKvsASvMwy","Dahlia II","spotify:artist:2MVfNjocvNrE03cQuxpsWK","張敬軒","2018-05-31","https://i.scdn.co/image/ab67616d0000b273f5249d271b41411a6d425046","1","1","246678","https://p.scdn.co/mp3-preview/af2c75df90326521a1ee1d4da1c8b230c299cc72?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","HKD251811101","","2024-05-18T01:54:35Z"
"spotify:track:4BAcE45M2iJFbOduavt8RC","天窗 (Hins Live in Passion 張敬軒演唱會 2014)","spotify:artist:2MVfNjocvNrE03cQuxpsWK, spotify:artist:2zzKlxMsKTPMsZacZCPRNA","張敬軒, 容祖兒","spotify:album:6SD5Eb6eI6qeIyVYlIlQV9","Hins Live in Passion 張敬軒演唱會 2014","spotify:artist:2MVfNjocvNrE03cQuxpsWK","張敬軒","2014-12-23","https://i.scdn.co/image/ab67616d0000b273ccb8734e1512a906babf4b1c","3","9","243601","https://p.scdn.co/mp3-preview/31c1d9b6724dbd701043dacff64aae1cd68194dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","HKD251411933","","2024-05-18T01:54:35Z"
"spotify:track:3r6HDiMXhf89MrbventQQT","日與夜 (紅館現場錄音版) [Live]","spotify:artist:6t1LRAgmnIc4a1hnjhSDHU","陳輝陽 x 女聲合唱","spotify:album:6w6rz4TcpTGAyEPHPUzpOV","日與夜 (紅館現場錄音版) [Live]","spotify:artist:6t1LRAgmnIc4a1hnjhSDHU","陳輝陽 x 女聲合唱","2023-02-14","https://i.scdn.co/image/ab67616d0000b2733ea195e70326789727136db1","1","1","232999","https://p.scdn.co/mp3-preview/c9229ab4b213e1418bf7016a4b04455dbba38c9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","HKG882200024","","2024-05-18T01:54:35Z"
